Растение;Условия;Проблема;Вариантов всего;Производителей всего;Вариантов Лемана;Производителей Лемана;Производители Лемана
Томат;Открытый грунт;Фитофтороз;5;5;2;2;Август, Ваше хозяйство
Томат;Открытый грунт;Альтернариоз;3;2;3;2;Август, Ваше хозяйство
Томат;Открытый грунт;Настоящая мучнистая роса;4;3;0;0;
Томат;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Томат;Открытый грунт;Корневая гниль / увядание;1;1;1;1;Ваше хозяйство
Томат;Открытый грунт;Тепличная белокрылка;1;1;0;0;
Томат;Открытый грунт;Тля;1;1;0;0;
Томат;Открытый грунт;Паутинный клещ;1;1;0;0;
Томат;Открытый грунт;Трипсы;1;1;0;0;
Томат;Открытый грунт;Фузариоз / фузариозное увядание;1;1;0;0;
Томат;Открытый грунт;Кладоспориоз (бурая пятнистость);0;0;0;0;
Томат;Теплица;Фитофтороз;4;4;1;1;Август
Томат;Теплица;Альтернариоз;1;1;1;1;Август
Томат;Теплица;Настоящая мучнистая роса;4;3;0;0;
Томат;Теплица;Ботритис (серая гниль);2;2;1;1;Ваше хозяйство
Томат;Теплица;Корневая гниль / увядание;1;1;1;1;Ваше хозяйство
Томат;Теплица;Тепличная белокрылка;3;3;1;1;Август
Томат;Теплица;Тля;2;2;1;1;Август
Томат;Теплица;Паутинный клещ;2;2;1;1;Август
Томат;Теплица;Трипсы;1;1;0;0;
Томат;Теплица;Фузариоз / фузариозное увядание;1;1;0;0;
Томат;Теплица;Кладоспориоз (бурая пятнистость);1;1;0;0;
Огурец;Открытый грунт;Альтернариоз;1;1;0;0;
Огурец;Открытый грунт;Настоящая мучнистая роса;4;3;0;0;
Огурец;Открытый грунт;Пероноспороз (ложная мучнистая роса);5;5;2;2;Август, Ваше хозяйство
Огурец;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Огурец;Открытый грунт;Корневая гниль / увядание;1;1;1;1;Ваше хозяйство
Огурец;Открытый грунт;Тепличная белокрылка;1;1;0;0;
Огурец;Открытый грунт;Тля;1;1;0;0;
Огурец;Открытый грунт;Паутинный клещ;1;1;0;0;
Огурец;Открытый грунт;Трипсы;1;1;0;0;
Огурец;Теплица;Альтернариоз;1;1;0;0;
Огурец;Теплица;Настоящая мучнистая роса;4;3;0;0;
Огурец;Теплица;Пероноспороз (ложная мучнистая роса);4;4;1;1;Август
Огурец;Теплица;Ботритис (серая гниль);1;1;0;0;
Огурец;Теплица;Корневая гниль / увядание;1;1;1;1;Ваше хозяйство
Огурец;Теплица;Тепличная белокрылка;4;3;2;1;Август
Огурец;Теплица;Тля;3;2;2;1;Август
Огурец;Теплица;Паутинный клещ;2;2;1;1;Август
Огурец;Теплица;Трипсы;2;2;1;1;Август
Перец сладкий;Открытый грунт;Фитофтороз;2;2;0;0;
Перец сладкий;Открытый грунт;Настоящая мучнистая роса;3;2;0;0;
Перец сладкий;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Перец сладкий;Открытый грунт;Тля;1;1;0;0;
Перец сладкий;Открытый грунт;Паутинный клещ;1;1;0;0;
Перец сладкий;Открытый грунт;Трипсы;1;1;0;0;
Перец сладкий;Открытый грунт;Фузариоз / фузариозное увядание;1;1;0;0;
Перец сладкий;Открытый грунт;Кладоспориоз (бурая пятнистость);0;0;0;0;
Перец сладкий;Теплица;Фитофтороз;2;2;0;0;
Перец сладкий;Теплица;Настоящая мучнистая роса;3;2;0;0;
Перец сладкий;Теплица;Корневая гниль / увядание;0;0;0;0;
Перец сладкий;Теплица;Тля;1;1;0;0;
Перец сладкий;Теплица;Паутинный клещ;2;2;1;1;Август
Перец сладкий;Теплица;Трипсы;1;1;0;0;
Перец сладкий;Теплица;Фузариоз / фузариозное увядание;1;1;0;0;
Перец сладкий;Теплица;Кладоспориоз (бурая пятнистость);0;0;0;0;
Баклажан;Открытый грунт;Фитофтороз;2;2;0;0;
Баклажан;Открытый грунт;Настоящая мучнистая роса;3;2;0;0;
Баклажан;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Баклажан;Открытый грунт;Тля;1;1;0;0;
Баклажан;Открытый грунт;Паутинный клещ;1;1;0;0;
Баклажан;Открытый грунт;Трипсы;1;1;0;0;
Баклажан;Открытый грунт;Фузариоз / фузариозное увядание;1;1;0;0;
Баклажан;Открытый грунт;Кладоспориоз (бурая пятнистость);0;0;0;0;
Баклажан;Теплица;Фитофтороз;2;2;0;0;
Баклажан;Теплица;Настоящая мучнистая роса;3;2;0;0;
Баклажан;Теплица;Корневая гниль / увядание;0;0;0;0;
Баклажан;Теплица;Тля;1;1;0;0;
Баклажан;Теплица;Паутинный клещ;2;2;1;1;Август
Баклажан;Теплица;Трипсы;1;1;0;0;
Баклажан;Теплица;Фузариоз / фузариозное увядание;1;1;0;0;
Баклажан;Теплица;Кладоспориоз (бурая пятнистость);0;0;0;0;
Кабачок;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Кабачок;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Кабачок;Открытый грунт;Тля;1;1;0;0;
Кабачок;Открытый грунт;Паутинный клещ;1;1;0;0;
Кабачок;Открытый грунт;Трипсы;1;1;0;0;
Тыква;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Тыква;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Тыква;Открытый грунт;Тля;1;1;0;0;
Тыква;Открытый грунт;Паутинный клещ;1;1;0;0;
Тыква;Открытый грунт;Трипсы;1;1;0;0;
Капуста белокочанная;Открытый грунт;Настоящая мучнистая роса;3;2;0;0;
Капуста белокочанная;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Капуста белокочанная;Открытый грунт;Тля;1;1;0;0;
Капуста белокочанная;Открытый грунт;Паутинный клещ;1;1;0;0;
Капуста белокочанная;Открытый грунт;Трипсы;1;1;0;0;
Морковь;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Морковь;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Морковь;Открытый грунт;Тля;1;1;0;0;
Морковь;Открытый грунт;Паутинный клещ;1;1;0;0;
Морковь;Открытый грунт;Трипсы;1;1;0;0;
Свёкла;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Свёкла;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Свёкла;Открытый грунт;Тля;1;1;0;0;
Свёкла;Открытый грунт;Паутинный клещ;1;1;0;0;
Свёкла;Открытый грунт;Трипсы;1;1;0;0;
Лук репчатый;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Лук репчатый;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Лук репчатый;Открытый грунт;Тля;1;1;0;0;
Лук репчатый;Открытый грунт;Паутинный клещ;1;1;0;0;
Лук репчатый;Открытый грунт;Трипсы;1;1;0;0;
Чеснок;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Чеснок;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Чеснок;Открытый грунт;Тля;1;1;0;0;
Чеснок;Открытый грунт;Паутинный клещ;1;1;0;0;
Чеснок;Открытый грунт;Трипсы;1;1;0;0;
Пион;Открытый грунт;Настоящая мучнистая роса;5;3;2;1;Syngenta
Пион;Открытый грунт;Ботритис (серая гниль);3;3;1;1;Syngenta
Пион;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Пион;Открытый грунт;Тля;6;6;5;5;BonaForte, Green Belt, Август, Ваше хозяйство, Фармбиомед
Пион;Открытый грунт;Паутинный клещ;4;4;3;3;BonaForte, Август, Фармбиомед
Пион;Открытый грунт;Трипсы;6;6;5;5;BonaForte, Green Belt, Август, Ваше хозяйство, Фармбиомед
Пион;Открытый грунт;Пятнистости листьев;2;2;0;0;
Роза;Открытый грунт;Настоящая мучнистая роса;5;3;2;1;Syngenta
Роза;Открытый грунт;Ботритис (серая гниль);2;2;0;0;
Роза;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Роза;Открытый грунт;Тля;6;6;5;5;BonaForte, Green Belt, Август, Ваше хозяйство, Фармбиомед
Роза;Открытый грунт;Паутинный клещ;4;4;3;3;BonaForte, Август, Фармбиомед
Роза;Открытый грунт;Трипсы;6;6;5;5;BonaForte, Green Belt, Август, Ваше хозяйство, Фармбиомед
Роза;Открытый грунт;Чёрная пятнистость;1;1;1;1;Syngenta
Роза;Открытый грунт;Пятнистости листьев;3;3;1;1;Syngenta
Роза;Открытый грунт;Ржавчина;1;1;1;1;Syngenta
Ежевика;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Ежевика;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Ежевика;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Ежевика;Открытый грунт;Тля;1;1;0;0;
Ежевика;Открытый грунт;Паутинный клещ;1;1;0;0;
Ежевика;Открытый грунт;Трипсы;1;1;0;0;
Ежевика;Открытый грунт;Пятнистости листьев;1;1;0;0;
Ежевика;Открытый грунт;Долгоносик;0;0;0;0;
Малина;Открытый грунт;Настоящая мучнистая роса;2;1;0;0;
Малина;Открытый грунт;Ботритис (серая гниль);1;1;0;0;
Малина;Открытый грунт;Корневая гниль / увядание;0;0;0;0;
Малина;Открытый грунт;Тля;1;1;0;0;
Малина;Открытый грунт;Паутинный клещ;1;1;0;0;
